Date,Venue Space,Office,Uncategorized,Subtotal,Sales Tax,Admin Fee,Gratuity,Grand Total,Credit Card Payments,ACH Card Payments,Offline Payments,Payments Total
2026-04-20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-22,$600.00,$0.00,$0.00,$600.00,$0.00,$0.00,$0.00,$150.00,$275.00,$0.00,$0.00,$275.00
2026-04-23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-24,$650.00,$0.00,$0.00,$650.00,$0.00,$0.00,$0.00,$600.00,$0.00,$0.00,$0.00,$0.00
2026-04-25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-26,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-04-28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$337.50,$0.00,$0.00,$337.50
2026-04-29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$0.00,$0.00,$275.00
2026-04-30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$575.00,$0.00,$0.00,$575.00
2026-05-01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$825.00,$0.00,$0.00,$825.00
2026-05-06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-07,$900.00,$0.00,$0.00,$900.00,$0.00,$0.00,$0.00,$0.00,$550.00,$0.00,$0.00,$550.00
2026-05-08,$650.00,$0.00,$0.00,$650.00,$0.00,$0.00,$0.00,$550.00,$0.00,$0.00,$0.00,$0.00
2026-05-09,$1300.00,$0.00,$0.00,$1300.00,$0.00,$0.00,$0.00,$1100.00,$0.00,$0.00,$0.00,$0.00
2026-05-10,$650.00,$0.00,$0.00,$650.00,$0.00,$0.00,$0.00,$500.00,$0.00,$0.00,$0.00,$0.00
2026-05-11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$400.00,$400.00
2026-05-13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$325.00,$0.00,$0.00,$325.00
2026-05-14,$600.00,$0.00,$0.00,$600.00,$0.00,$0.00,$0.00,$400.00,$0.00,$0.00,$0.00,$0.00
2026-05-15,$450.00,$0.00,$0.00,$450.00,$0.00,$0.00,$0.00,$275.00,$0.00,$0.00,$0.00,$0.00
2026-05-16,$1100.00,$0.00,$0.00,$1100.00,$0.00,$0.00,$0.00,$900.00,$0.00,$0.00,$0.00,$0.00
2026-05-17,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-19,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2026-05-20,$450.00,$0.00,$0.00,$450.00,$0.00,$0.00,$0.00,$250.00,$0.00,$0.00,$0.00,$0.00
Total,$7350.00,$0.00,$0.00,$7350.00,$0.00,$0.00,$0.00,$4725.00,$3162.50,$0.00,$400.00,$3562.50